IDCODE,EXPERIMENT TYPE
6HVH,X-RAY DIFFRACTION
6HVI,X-RAY DIFFRACTION
6HVJ,X-RAY DIFFRACTION
6HVK,SOLUTION NMR
6HVL,X-RAY DIFFRACTION
6HVM,X-RAY DIFFRACTION
6HVN,X-RAY DIFFRACTION
6HVO,X-RAY DIFFRACTION
6HVQ,X-RAY DIFFRACTION
6HVR,X-RAY DIFFRACTION
6HVS,X-RAY DIFFRACTION
6HVT,X-RAY DIFFRACTION
6HVU,X-RAY DIFFRACTION
6HVV,X-RAY DIFFRACTION
6HVW,X-RAY DIFFRACTION
6HVX,X-RAY DIFFRACTION
6HVY,X-RAY DIFFRACTION
6HW0,X-RAY DIFFRACTION
6HW1,X-RAY DIFFRACTION
6HW2,X-RAY DIFFRACTION
6HW3,X-RAY DIFFRACTION
6HW4,X-RAY DIFFRACTION
6HW5,X-RAY DIFFRACTION
6HW6,X-RAY DIFFRACTION
6HW7,X-RAY DIFFRACTION
6HW8,X-RAY DIFFRACTION
6HW9,X-RAY DIFFRACTION
6HWA,X-RAY DIFFRACTION
6HWB,X-RAY DIFFRACTION
6HWC,X-RAY DIFFRACTION
6HWD,X-RAY DIFFRACTION
6HWE,X-RAY DIFFRACTION
6HWF,X-RAY DIFFRACTION
6HWG,X-RAY DIFFRACTION
6HWH,ELECTRON MICROSCOPY
6HWI,ELECTRON MICROSCOPY
6HWJ,X-RAY DIFFRACTION
6HWK,X-RAY DIFFRACTION
6HWL,X-RAY DIFFRACTION
6HWM,X-RAY DIFFRACTION
6HWN,X-RAY DIFFRACTION
6HWO,X-RAY DIFFRACTION
6HWP,X-RAY DIFFRACTION
6HWR,X-RAY DIFFRACTION
6HWS,X-RAY DIFFRACTION
6HWT,X-RAY DIFFRACTION
6HWU,X-RAY DIFFRACTION
6HWV,X-RAY DIFFRACTION
6HWW,ELECTRON MICROSCOPY
6HWX,ELECTRON MICROSCOPY
6HWY,ELECTRON MICROSCOPY
6HWZ,X-RAY DIFFRACTION
6HX0,X-RAY DIFFRACTION
6HX1,X-RAY DIFFRACTION
6HX2,X-RAY DIFFRACTION
6HX3,X-RAY DIFFRACTION
6HX4,X-RAY DIFFRACTION
6HX5,X-RAY DIFFRACTION
6HX7,X-RAY DIFFRACTION
6HX8,X-RAY DIFFRACTION
6HX9,X-RAY DIFFRACTION
6HXA,X-RAY DIFFRACTION
6HXB,X-RAY DIFFRACTION
6HXD,X-RAY DIFFRACTION
6HXE,X-RAY DIFFRACTION
6HXF,X-RAY DIFFRACTION
6HXG,X-RAY DIFFRACTION
6HXH,X-RAY DIFFRACTION
6HXI,X-RAY DIFFRACTION
6HXJ,X-RAY DIFFRACTION
6HXK,X-RAY DIFFRACTION
6HXL,X-RAY DIFFRACTION
6HXM,X-RAY DIFFRACTION
6HXN,X-RAY DIFFRACTION
6HXO,X-RAY DIFFRACTION
6HXP,X-RAY DIFFRACTION
6HXQ,X-RAY DIFFRACTION
6HXR,X-RAY DIFFRACTION
6HXS,X-RAY DIFFRACTION
6HXT,X-RAY DIFFRACTION
6HXU,X-RAY DIFFRACTION
6HXV,X-RAY DIFFRACTION
6HXW,X-RAY DIFFRACTION
6HXX,ELECTRON MICROSCOPY
6HXY,X-RAY DIFFRACTION
6HXZ,ELECTRON MICROSCOPY
6HY0,ELECTRON MICROSCOPY
6HY1,X-RAY DIFFRACTION
6HY2,X-RAY DIFFRACTION
6HY3,X-RAY DIFFRACTION
6HY4,X-RAY DIFFRACTION
6HY5,X-RAY DIFFRACTION
6HY6,X-RAY DIFFRACTION
6HY7,X-RAY DIFFRACTION
6HY8,X-RAY DIFFRACTION
6HY9,X-RAY DIFFRACTION
6HYA,X-RAY DIFFRACTION
6HYB,X-RAY DIFFRACTION
6HYC,X-RAY DIFFRACTION
6HYD,ELECTRON MICROSCOPY
6HYE,X-RAY DIFFRACTION
6HYF,X-RAY DIFFRACTION
6HYG,X-RAY DIFFRACTION
6HYH,X-RAY DIFFRACTION
6HYI,X-RAY DIFFRACTION
6HYJ,X-RAY DIFFRACTION
6HYK,SOLUTION NMR
6HYL,X-RAY DIFFRACTION
6HYM,X-RAY DIFFRACTION
6HYN,X-RAY DIFFRACTION
6HYO,X-RAY DIFFRACTION
6HYP,ELECTRON MICROSCOPY
6HYQ,X-RAY DIFFRACTION
6HYR,X-RAY DIFFRACTION
6HYS,X-RAY DIFFRACTION
6HYT,X-RAY DIFFRACTION
6HYU,X-RAY DIFFRACTION
6HYV,X-RAY DIFFRACTION
6HYW,X-RAY DIFFRACTION
6HYX,X-RAY DIFFRACTION
6HYY,X-RAY DIFFRACTION
6HYZ,X-RAY DIFFRACTION
6HZ0,X-RAY DIFFRACTION
6HZ1,X-RAY DIFFRACTION
6HZ2,SOLUTION NMR
6HZ3,X-RAY DIFFRACTION
6HZ4,ELECTRON MICROSCOPY
6HZ5,ELECTRON MICROSCOPY
6HZ6,ELECTRON MICROSCOPY
6HZ7,ELECTRON MICROSCOPY
6HZ8,ELECTRON MICROSCOPY
6HZ9,ELECTRON MICROSCOPY
6HZA,X-RAY DIFFRACTION
6HZB,X-RAY DIFFRACTION
6HZC,X-RAY DIFFRACTION
6HZD,X-RAY DIFFRACTION
6HZE,X-RAY DIFFRACTION
6HZF,X-RAY DIFFRACTION
6HZG,X-RAY DIFFRACTION
6HZH,X-RAY DIFFRACTION
6HZI,X-RAY DIFFRACTION
6HZJ,X-RAY DIFFRACTION
6HZK,X-RAY DIFFRACTION
6HZL,X-RAY DIFFRACTION
6HZM,ELECTRON MICROSCOPY
6HZN,X-RAY DIFFRACTION
6HZO,X-RAY DIFFRACTION
6HZP,X-RAY DIFFRACTION
6HZQ,X-RAY DIFFRACTION
6HZR,X-RAY DIFFRACTION
6HZU,X-RAY DIFFRACTION
6HZV,X-RAY DIFFRACTION
6HZW,X-RAY DIFFRACTION
6HZX,X-RAY DIFFRACTION
6HZY,X-RAY DIFFRACTION
6HZZ,X-RAY DIFFRACTION
6I00,ELECTRON MICROSCOPY
6I01,X-RAY DIFFRACTION
6I02,X-RAY DIFFRACTION
6I03,X-RAY DIFFRACTION
6I04,X-RAY DIFFRACTION
6I05,X-RAY DIFFRACTION
6I06,X-RAY DIFFRACTION
6I07,X-RAY DIFFRACTION
6I08,X-RAY DIFFRACTION
6I09,X-RAY DIFFRACTION
6I0A,X-RAY DIFFRACTION
6I0B,X-RAY DIFFRACTION
6I0C,X-RAY DIFFRACTION
6I0D,X-RAY DIFFRACTION
6I0I,X-RAY DIFFRACTION
6I0J,X-RAY DIFFRACTION
6I0K,X-RAY DIFFRACTION
6I0L,X-RAY DIFFRACTION
6I0M,X-RAY DIFFRACTION
6I0N,X-RAY DIFFRACTION
6I0O,X-RAY DIFFRACTION
6I0P,X-RAY DIFFRACTION
6I0Q,X-RAY DIFFRACTION
6I0R,X-RAY DIFFRACTION
6I0S,X-RAY DIFFRACTION
6I0T,X-RAY DIFFRACTION
6I0U,X-RAY DIFFRACTION
6I0V,X-RAY DIFFRACTION
6I0W,X-RAY DIFFRACTION
6I0X,X-RAY DIFFRACTION
6I0Y,ELECTRON MICROSCOPY
6I0Z,X-RAY DIFFRACTION
6I10,X-RAY DIFFRACTION
6I11,X-RAY DIFFRACTION
6I12,X-RAY DIFFRACTION
6I13,X-RAY DIFFRACTION
6I14,X-RAY DIFFRACTION
6I15,X-RAY DIFFRACTION
6I16,X-RAY DIFFRACTION
6I17,X-RAY DIFFRACTION
6I18,X-RAY DIFFRACTION
6I19,X-RAY DIFFRACTION
6I1A,X-RAY DIFFRACTION
6I1B,SOLUTION NMR
6I1C,X-RAY DIFFRACTION
6I1D,X-RAY DIFFRACTION
6I1E,X-RAY DIFFRACTION
6I1F,X-RAY DIFFRACTION
6I1G,X-RAY DIFFRACTION
6I1H,X-RAY DIFFRACTION
6I1I,X-RAY DIFFRACTION
6I1J,X-RAY DIFFRACTION
6I1K,X-RAY DIFFRACTION
6I1L,X-RAY DIFFRACTION
6I1M,X-RAY DIFFRACTION
6I1N,X-RAY DIFFRACTION
6I1O,X-RAY DIFFRACTION
6I1P,X-RAY DIFFRACTION
6I1Q,X-RAY DIFFRACTION
6I1R,X-RAY DIFFRACTION
6I1S,X-RAY DIFFRACTION
6I1T,X-RAY DIFFRACTION
6I1U,X-RAY DIFFRACTION
6I1V,SOLUTION NMR
6I1W,SOLUTION NMR
6I1X,ELECTRON MICROSCOPY
6I1Y,ELECTRON MICROSCOPY
6I1Z,X-RAY DIFFRACTION
6I20,X-RAY DIFFRACTION
6I21,X-RAY DIFFRACTION
6I22,X-RAY DIFFRACTION
6I23,X-RAY DIFFRACTION
6I24,X-RAY DIFFRACTION
6I25,X-RAY DIFFRACTION
6I26,ELECTRON MICROSCOPY
6I27,ELECTRON MICROSCOPY
6I28,X-RAY DIFFRACTION
6I29,X-RAY DIFFRACTION
6I2A,X-RAY DIFFRACTION
6I2B,X-RAY DIFFRACTION
6I2C,X-RAY DIFFRACTION
6I2D,X-RAY DIFFRACTION
6I2F,X-RAY DIFFRACTION
6I2G,X-RAY DIFFRACTION
6I2H,X-RAY DIFFRACTION
6I2I,ELECTRON MICROSCOPY
6I2J,X-RAY DIFFRACTION
6I2K,ELECTRON MICROSCOPY
6I2M,X-RAY DIFFRACTION
6I2N,ELECTRON MICROSCOPY
6I2O,SOLUTION NMR
6I2P,X-RAY DIFFRACTION
6I2Q,X-RAY DIFFRACTION
6I2R,X-RAY DIFFRACTION
6I2S,X-RAY DIFFRACTION
6I2T,ELECTRON MICROSCOPY
6I2U,X-RAY DIFFRACTION
6I2V,X-RAY DIFFRACTION
6I2X,ELECTRON CRYSTALLOGRAPHY
6I2Y,X-RAY DIFFRACTION
6I2Z,X-RAY DIFFRACTION
6I30,X-RAY DIFFRACTION
6I31,X-RAY DIFFRACTION
6I33,X-RAY DIFFRACTION
6I34,X-RAY DIFFRACTION
6I35,X-RAY DIFFRACTION
6I36,X-RAY DIFFRACTION
6I37,X-RAY DIFFRACTION
6I38,X-RAY DIFFRACTION
6I39,X-RAY DIFFRACTION
6I3A,X-RAY DIFFRACTION
6I3B,X-RAY DIFFRACTION
6I3C,X-RAY DIFFRACTION
6I3D,X-RAY DIFFRACTION
6I3E,X-RAY DIFFRACTION
6I3F,X-RAY DIFFRACTION
6I3G,X-RAY DIFFRACTION
6I3H,X-RAY DIFFRACTION
6I3I,X-RAY DIFFRACTION
6I3J,X-RAY DIFFRACTION
6I3K,X-RAY DIFFRACTION
6I3L,X-RAY DIFFRACTION
6I3M,ELECTRON MICROSCOPY
6I3N,ELECTRON MICROSCOPY
6I3O,X-RAY DIFFRACTION
6I3P,X-RAY DIFFRACTION
6I3Q,X-RAY DIFFRACTION
6I3R,SOLUTION NMR
6I3S,X-RAY DIFFRACTION
6I3T,X-RAY DIFFRACTION
6I3U,X-RAY DIFFRACTION
6I3V,X-RAY DIFFRACTION
6I3Y,X-RAY DIFFRACTION
6I3Z,X-RAY DIFFRACTION
6I40,X-RAY DIFFRACTION
6I41,X-RAY DIFFRACTION
6I42,X-RAY DIFFRACTION
6I43,X-RAY DIFFRACTION
6I44,X-RAY DIFFRACTION
6I45,X-RAY DIFFRACTION
6I46,X-RAY DIFFRACTION
6I47,X-RAY DIFFRACTION
6I48,X-RAY DIFFRACTION
6I49,X-RAY DIFFRACTION
6I4A,X-RAY DIFFRACTION
6I4B,X-RAY DIFFRACTION
6I4D,X-RAY DIFFRACTION
6I4E,X-RAY DIFFRACTION
6I4F,X-RAY DIFFRACTION
6I4G,X-RAY DIFFRACTION
6I4H,X-RAY DIFFRACTION
6I4I,X-RAY DIFFRACTION
6I4J,X-RAY DIFFRACTION
6I4K,X-RAY DIFFRACTION
6I4L,X-RAY DIFFRACTION
6I4M,X-RAY DIFFRACTION
6I4N,SOLUTION NMR
6I4O,SOLUTION NMR
6I4P,X-RAY DIFFRACTION
6I4Q,X-RAY DIFFRACTION
6I4R,X-RAY DIFFRACTION
6I4S,X-RAY DIFFRACTION
6I4T,X-RAY DIFFRACTION
6I4U,X-RAY DIFFRACTION
6I4V,X-RAY DIFFRACTION
6I4X,X-RAY DIFFRACTION
6I4Y,X-RAY DIFFRACTION
6I4Z,X-RAY DIFFRACTION
6I50,X-RAY DIFFRACTION
6I51,X-RAY DIFFRACTION
6I52,ELECTRON MICROSCOPY
6I53,ELECTRON MICROSCOPY
6I54,ELECTRON MICROSCOPY
6I55,X-RAY DIFFRACTION
6I56,X-RAY DIFFRACTION
6I57,SOLUTION NMR
6I58,X-RAY DIFFRACTION
6I59,X-RAY DIFFRACTION
6I5A,ELECTRON MICROSCOPY
6I5B,X-RAY DIFFRACTION
6I5C,X-RAY DIFFRACTION
6I5D,X-RAY DIFFRACTION
6I5E,X-RAY DIFFRACTION
6I5F,X-RAY DIFFRACTION
6I5G,X-RAY DIFFRACTION
6I5H,X-RAY DIFFRACTION
6I5I,X-RAY DIFFRACTION
6I5J,X-RAY DIFFRACTION
6I5K,X-RAY DIFFRACTION
6I5L,X-RAY DIFFRACTION
6I5M,X-RAY DIFFRACTION
6I5N,X-RAY DIFFRACTION
6I5O,X-RAY DIFFRACTION
6I5P,X-RAY DIFFRACTION
6I5Q,X-RAY DIFFRACTION
6I5R,X-RAY DIFFRACTION
6I5S,X-RAY DIFFRACTION
6I5T,ELECTRON MICROSCOPY
6I5U,ELECTRON MICROSCOPY
6I5V,X-RAY DIFFRACTION
6I5W,X-RAY DIFFRACTION
6I5X,X-RAY DIFFRACTION
6I5Y,X-RAY DIFFRACTION
6I5Z,X-RAY DIFFRACTION
6I60,X-RAY DIFFRACTION
6I61,X-RAY DIFFRACTION
6I62,X-RAY DIFFRACTION
6I63,X-RAY DIFFRACTION
6I64,X-RAY DIFFRACTION
6I65,X-RAY DIFFRACTION
6I66,X-RAY DIFFRACTION
6I67,X-RAY DIFFRACTION
6I68,X-RAY DIFFRACTION
6I69,X-RAY DIFFRACTION
6I6B,X-RAY DIFFRACTION
6I6C,X-RAY DIFFRACTION
6I6E,X-RAY DIFFRACTION
6I6F,X-RAY DIFFRACTION
6I6G,X-RAY DIFFRACTION
6I6H,X-RAY DIFFRACTION
6I6I,X-RAY DIFFRACTION
6I6J,X-RAY DIFFRACTION
6I6K,X-RAY DIFFRACTION
6I6L,X-RAY DIFFRACTION
6I6M,X-RAY DIFFRACTION
6I6N,X-RAY DIFFRACTION
6I6O,X-RAY DIFFRACTION
6I6P,X-RAY DIFFRACTION
6I6R,X-RAY DIFFRACTION
6I6S,X-RAY DIFFRACTION
6I6T,X-RAY DIFFRACTION
6I6U,X-RAY DIFFRACTION
6I6V,X-RAY DIFFRACTION
6I6W,X-RAY DIFFRACTION
6I6X,X-RAY DIFFRACTION
6I6Y,X-RAY DIFFRACTION
6I6Z,X-RAY DIFFRACTION
6I70,X-RAY DIFFRACTION
6I71,X-RAY DIFFRACTION
6I72,X-RAY DIFFRACTION
6I73,X-RAY DIFFRACTION
6I74,X-RAY DIFFRACTION
6I75,X-RAY DIFFRACTION
6I76,X-RAY DIFFRACTION
6I77,X-RAY DIFFRACTION
6I78,X-RAY DIFFRACTION
6I79,X-RAY DIFFRACTION
6I7A,X-RAY DIFFRACTION
6I7B,ELECTRON MICROSCOPY
6I7C,X-RAY DIFFRACTION
6I7D,X-RAY DIFFRACTION
6I7E,X-RAY DIFFRACTION
6I7F,X-RAY DIFFRACTION
6I7G,X-RAY DIFFRACTION
6I7H,X-RAY DIFFRACTION
6I7I,X-RAY DIFFRACTION
6I7J,X-RAY DIFFRACTION
6I7K,X-RAY DIFFRACTION
6I7L,X-RAY DIFFRACTION
6I7M,ELECTRON MICROSCOPY
6I7N,X-RAY DIFFRACTION
6I7O,ELECTRON MICROSCOPY
6I7P,X-RAY DIFFRACTION
6I7Q,X-RAY DIFFRACTION
6I7R,X-RAY DIFFRACTION
6I7S,X-RAY DIFFRACTION
6I7T,ELECTRON MICROSCOPY
6I7U,X-RAY DIFFRACTION
6I7V,X-RAY DIFFRACTION
6I7W,X-RAY DIFFRACTION
6I7X,X-RAY DIFFRACTION
6I7Y,X-RAY DIFFRACTION
6I7Z,X-RAY DIFFRACTION
6I80,X-RAY DIFFRACTION
6I81,X-RAY DIFFRACTION
6I82,X-RAY DIFFRACTION
6I83,X-RAY DIFFRACTION
6I84,ELECTRON MICROSCOPY
6I85,ELECTRON MICROSCOPY
6I86,X-RAY DIFFRACTION
6I89,X-RAY DIFFRACTION
6I8A,X-RAY DIFFRACTION
6I8B,X-RAY DIFFRACTION
6I8C,X-RAY DIFFRACTION
6I8D,X-RAY DIFFRACTION
6I8E,X-RAY DIFFRACTION
6I8F,X-RAY DIFFRACTION
6I8G,X-RAY DIFFRACTION
6I8H,X-RAY DIFFRACTION
6I8I,X-RAY DIFFRACTION
6I8J,X-RAY DIFFRACTION
6I8K,X-RAY DIFFRACTION
6I8L,X-RAY DIFFRACTION
6I8M,X-RAY DIFFRACTION
6I8N,X-RAY DIFFRACTION
6I8O,X-RAY DIFFRACTION
6I8P,X-RAY DIFFRACTION
6I8Q,X-RAY DIFFRACTION
6I8R,X-RAY DIFFRACTION
6I8S,X-RAY DIFFRACTION
6I8T,X-RAY DIFFRACTION
6I8V,X-RAY DIFFRACTION
6I8W,X-RAY DIFFRACTION
6I8X,X-RAY DIFFRACTION
6I8Y,X-RAY DIFFRACTION
6I8Z,X-RAY DIFFRACTION
6I90,X-RAY DIFFRACTION
6I91,X-RAY DIFFRACTION
6I92,X-RAY DIFFRACTION
6I93,X-RAY DIFFRACTION
6I94,X-RAY DIFFRACTION
6I95,X-RAY DIFFRACTION
6I96,X-RAY DIFFRACTION
6I97,X-RAY DIFFRACTION
6I98,X-RAY DIFFRACTION
6I99,X-RAY DIFFRACTION
6I9A,X-RAY DIFFRACTION
6I9B,SOLUTION NMR
6I9C,X-RAY DIFFRACTION
6I9D,ELECTRON MICROSCOPY
6I9E,ELECTRON MICROSCOPY
6I9F,SOLUTION NMR
6I9G,X-RAY DIFFRACTION
6I9H,SOLUTION NMR
6I9I,X-RAY DIFFRACTION
6I9J,X-RAY DIFFRACTION
6I9K,X-RAY DIFFRACTION
6I9L,X-RAY DIFFRACTION
6I9M,X-RAY DIFFRACTION
6I9N,X-RAY DIFFRACTION
6I9O,X-RAY DIFFRACTION
6I9P,X-RAY DIFFRACTION
6I9Q,X-RAY DIFFRACTION
6I9R,ELECTRON MICROSCOPY
6I9S,X-RAY DIFFRACTION
6I9T,X-RAY DIFFRACTION
6I9U,X-RAY DIFFRACTION
6I9V,X-RAY DIFFRACTION
6I9W,X-RAY DIFFRACTION
6I9X,X-RAY DIFFRACTION
6I9Y,X-RAY DIFFRACTION
6I9Z,X-RAY DIFFRACTION
6IA0,SOLUTION NMR
6IA1,X-RAY DIFFRACTION
6IA2,X-RAY DIFFRACTION
6IA3,X-RAY DIFFRACTION
6IA4,SOLUTION NMR
6IA5,X-RAY DIFFRACTION
6IA6,X-RAY DIFFRACTION
6IA7,X-RAY DIFFRACTION
6IA8,X-RAY DIFFRACTION
6IA9,X-RAY DIFFRACTION
6IAA,X-RAY DIFFRACTION
6IAB,X-RAY DIFFRACTION
6IAC,ELECTRON MICROSCOPY
6IAD,X-RAY DIFFRACTION
6IAE,X-RAY DIFFRACTION
6IAF,X-RAY DIFFRACTION
6IAG,X-RAY DIFFRACTION
6IAH,X-RAY DIFFRACTION
6IAI,X-RAY DIFFRACTION
6IAJ,X-RAY DIFFRACTION
6IAK,X-RAY DIFFRACTION
6IAL,X-RAY DIFFRACTION
6IAM,X-RAY DIFFRACTION
6IAN,X-RAY DIFFRACTION
6IAO,X-RAY DIFFRACTION
6IAP,X-RAY DIFFRACTION
6IAQ,X-RAY DIFFRACTION
6IAR,X-RAY DIFFRACTION
6IAS,X-RAY DIFFRACTION
6IAT,ELECTRON MICROSCOPY
6IAU,X-RAY DIFFRACTION
6IAV,X-RAY DIFFRACTION
6IAW,ELECTRON MICROSCOPY
6IAX,ELECTRON MICROSCOPY
6IAY,X-RAY DIFFRACTION
6IAZ,X-RAY DIFFRACTION
6IB0,X-RAY DIFFRACTION
6IB1,ELECTRON MICROSCOPY
6IB2,X-RAY DIFFRACTION
6IB5,X-RAY DIFFRACTION
6IB6,SOLUTION NMR
6IB7,X-RAY DIFFRACTION
6IB8,X-RAY DIFFRACTION
6IBB,X-RAY DIFFRACTION
6IBC,ELECTRON MICROSCOPY
6IBD,X-RAY DIFFRACTION
6IBE,X-RAY DIFFRACTION
6IBF,X-RAY DIFFRACTION
6IBG,X-RAY DIFFRACTION
6IBH,X-RAY DIFFRACTION
6IBI,X-RAY DIFFRACTION
6IBJ,X-RAY DIFFRACTION
6IBK,X-RAY DIFFRACTION
6IBL,X-RAY DIFFRACTION
6IBM,X-RAY DIFFRACTION
6IBN,X-RAY DIFFRACTION
6IBO,X-RAY DIFFRACTION
6IBP,X-RAY DIFFRACTION
6IBQ,X-RAY DIFFRACTION
6IBR,X-RAY DIFFRACTION
6IBS,X-RAY DIFFRACTION
6IBT,X-RAY DIFFRACTION
6IBU,X-RAY DIFFRACTION
6IBV,X-RAY DIFFRACTION
6IBW,X-RAY DIFFRACTION
6IBX,X-RAY DIFFRACTION
6IBY,X-RAY DIFFRACTION
6IBZ,X-RAY DIFFRACTION
6IC0,X-RAY DIFFRACTION
6IC1,X-RAY DIFFRACTION
6IC2,X-RAY DIFFRACTION
6IC3,ELECTRON MICROSCOPY
6IC4,ELECTRON MICROSCOPY
6IC5,X-RAY DIFFRACTION
6IC6,X-RAY DIFFRACTION
6IC7,X-RAY DIFFRACTION
6IC8,X-RAY DIFFRACTION
6IC9,X-RAY DIFFRACTION
6ICA,X-RAY DIFFRACTION
6ICC,X-RAY DIFFRACTION
6ICD,X-RAY DIFFRACTION
6ICE,X-RAY DIFFRACTION
6ICF,X-RAY DIFFRACTION
6ICG,X-RAY DIFFRACTION
6ICH,X-RAY DIFFRACTION
6ICI,X-RAY DIFFRACTION
6ICJ,X-RAY DIFFRACTION
6ICK,X-RAY DIFFRACTION
6ICL,X-RAY DIFFRACTION
6ICM,X-RAY DIFFRACTION
6ICN,X-RAY DIFFRACTION
6ICO,X-RAY DIFFRACTION
6ICP,X-RAY DIFFRACTION
6ICQ,X-RAY DIFFRACTION
6ICR,X-RAY DIFFRACTION
6ICS,X-RAY DIFFRACTION
6ICT,X-RAY DIFFRACTION
6ICV,X-RAY DIFFRACTION
6ICW,X-RAY DIFFRACTION
6ICX,X-RAY DIFFRACTION
6ICY,X-RAY DIFFRACTION
6ICZ,ELECTRON MICROSCOPY
6ID0,ELECTRON MICROSCOPY
6ID1,ELECTRON MICROSCOPY
6ID2,X-RAY DIFFRACTION
6ID3,X-RAY DIFFRACTION
6ID4,X-RAY DIFFRACTION
6ID5,X-RAY DIFFRACTION
6ID6,X-RAY DIFFRACTION
6ID8,X-RAY DIFFRACTION
6ID9,X-RAY DIFFRACTION
6IDA,X-RAY DIFFRACTION
6IDB,X-RAY DIFFRACTION
6IDC,X-RAY DIFFRACTION
6IDD,X-RAY DIFFRACTION
6IDE,X-RAY DIFFRACTION
6IDF,ELECTRON MICROSCOPY
6IDG,X-RAY DIFFRACTION
6IDH,X-RAY DIFFRACTION
6IDI,ELECTRON MICROSCOPY
6IDJ,X-RAY DIFFRACTION
6IDK,ELECTRON MICROSCOPY
6IDL,ELECTRON MICROSCOPY
6IDM,X-RAY DIFFRACTION
6IDN,X-RAY DIFFRACTION
6IDO,X-RAY DIFFRACTION
6IDP,X-RAY DIFFRACTION
6IDR,X-RAY DIFFRACTION
6IDS,X-RAY DIFFRACTION
6IDV,X-RAY DIFFRACTION
6IDW,X-RAY DIFFRACTION
6IDX,X-RAY DIFFRACTION
6IDY,X-RAY DIFFRACTION
6IDZ,X-RAY DIFFRACTION
6IE0,X-RAY DIFFRACTION
6IE1,X-RAY DIFFRACTION
6IE2,X-RAY DIFFRACTION
6IE3,X-RAY DIFFRACTION
6IE4,X-RAY DIFFRACTION
6IE5,X-RAY DIFFRACTION
6IE6,X-RAY DIFFRACTION
6IE7,X-RAY DIFFRACTION
6IE8,X-RAY DIFFRACTION
6IE9,X-RAY DIFFRACTION
6IEA,X-RAY DIFFRACTION
6IEB,X-RAY DIFFRACTION
6IEC,X-RAY DIFFRACTION
6IED,X-RAY DIFFRACTION
6IEE,X-RAY DIFFRACTION
6IEF,X-RAY DIFFRACTION
6IEG,X-RAY DIFFRACTION
6IEH,X-RAY DIFFRACTION
6IEI,X-RAY DIFFRACTION
6IEJ,X-RAY DIFFRACTION
6IEK,X-RAY DIFFRACTION
6IEM,X-RAY DIFFRACTION
6IEN,X-RAY DIFFRACTION
6IEO,X-RAY DIFFRACTION
6IEP,X-RAY DIFFRACTION
6IEQ,X-RAY DIFFRACTION
6IER,X-RAY DIFFRACTION
6IES,X-RAY DIFFRACTION
6IET,X-RAY DIFFRACTION
6IEU,X-RAY DIFFRACTION
6IEV,X-RAY DIFFRACTION
6IEW,X-RAY DIFFRACTION
6IEX,X-RAY DIFFRACTION
6IEY,X-RAY DIFFRACTION
6IEZ,X-RAY DIFFRACTION
6IF0,X-RAY DIFFRACTION
6IF1,X-RAY DIFFRACTION
6IF2,X-RAY DIFFRACTION
6IF3,X-RAY DIFFRACTION
6IF4,X-RAY DIFFRACTION
6IF5,X-RAY DIFFRACTION
6IF6,X-RAY DIFFRACTION
6IF7,X-RAY DIFFRACTION
6IF8,X-RAY DIFFRACTION
6IF9,SOLUTION NMR
6IFA,X-RAY DIFFRACTION
6IFB,X-RAY DIFFRACTION
6IFC,X-RAY DIFFRACTION
6IFD,X-RAY DIFFRACTION
6IFE,X-RAY DIFFRACTION
6IFF,X-RAY DIFFRACTION
6IFG,X-RAY DIFFRACTION
6IFH,X-RAY DIFFRACTION
6IFI,X-RAY DIFFRACTION
6IFJ,X-RAY DIFFRACTION
6IFK,ELECTRON MICROSCOPY
6IFL,ELECTRON MICROSCOPY
6IFM,X-RAY DIFFRACTION
6IFN,X-RAY DIFFRACTION
6IFO,X-RAY DIFFRACTION
6IFP,X-RAY DIFFRACTION
6IFQ,X-RAY DIFFRACTION
6IFR,ELECTRON MICROSCOPY
6IFS,X-RAY DIFFRACTION
6IFT,X-RAY DIFFRACTION
6IFU,ELECTRON MICROSCOPY
6IFV,X-RAY DIFFRACTION
6IFW,X-RAY DIFFRACTION
6IFX,X-RAY DIFFRACTION
6IFY,ELECTRON MICROSCOPY
6IFZ,ELECTRON MICROSCOPY
6IG0,ELECTRON MICROSCOPY
6IG1,X-RAY DIFFRACTION
6IG2,X-RAY DIFFRACTION
6IG4,X-RAY DIFFRACTION
6IG5,X-RAY DIFFRACTION
6IG6,X-RAY DIFFRACTION
6IG7,X-RAY DIFFRACTION
6IG8,X-RAY DIFFRACTION
6IG9,ELECTRON MICROSCOPY
6IGA,X-RAY DIFFRACTION
6IGB,X-RAY DIFFRACTION
6IGC,X-RAY DIFFRACTION
6IGD,X-RAY DIFFRACTION
6IGE,X-RAY DIFFRACTION
6IGF,X-RAY DIFFRACTION
6IGG,X-RAY DIFFRACTION
6IGH,X-RAY DIFFRACTION
6IGI,X-RAY DIFFRACTION
6IGJ,X-RAY DIFFRACTION
6IGK,X-RAY DIFFRACTION
6IGL,X-RAY DIFFRACTION
6IGM,ELECTRON MICROSCOPY
6IGN,X-RAY DIFFRACTION
6IGO,X-RAY DIFFRACTION
6IGP,X-RAY DIFFRACTION
6IGQ,X-RAY DIFFRACTION
6IGR,X-RAY DIFFRACTION
6IGS,X-RAY DIFFRACTION
6IGT,X-RAY DIFFRACTION
6IGU,X-RAY DIFFRACTION
6IGV,X-RAY DIFFRACTION
6IGW,X-RAY DIFFRACTION
6IGX,X-RAY DIFFRACTION
6IGY,X-RAY DIFFRACTION
